0,1017,1660,913,1205,1266,757,1544,1947,1421,878,547,1010,762,955,933,606,960
1017,0,1242,1313,1734,642,1200,1647,1885,2000,680,785,1346,412,1194,572,1026,1190
1660,1242,0,1258,1573,749,1292,990,948,1806,1472,1292,539,1611,1451,1658,892,1467
913,1313,1258,0,566,1207,300,808,1246,836,851,1018,671,1110,1380,1058,801,1389
1205,1734,1573,566,0,1618,682,879,1314,412,353,1120,1312,796,1551,480,1214,1550
1266,642,749,1207,1618,0,1154,1311,1459,1885,1380,1203,478,1513,1383,1562,806,1399
757,1200,1292,300,682,1154,0,946,1372,944,1490,699,1526,1088,394,1437,957,376
1544,1647,990,808,879,1311,946,0,591,1045,737,1232,895,1169,1631,984,1090,1638
1947,1885,948,1246,1314,1459,1372,591,0,1445,900,1581,1211,1416,1995,1126,1469,2000
1421,2000,1806,836,412,1885,944,1045,1445,0,702,794,1378,383,1196,576,1049,1191
878,680,1472,851,353,1380,1490,737,900,702,0,1084,1241,803,1517,529,1155,1517
547,785,1292,1018,1120,1203,699,1232,1581,794,1084,0,1215,775,713,1069,684,714
1010,1346,539,671,1312,478,1526,895,1211,1378,1241,1215,0,1448,1464,1444,851,1478
762,412,1611,1110,796,1513,1088,1169,1416,383,803,775,1448,0,1150,653,1078,1144
955,1194,1451,1380,1551,1383,394,1631,1995,1196,1517,713,1464,1150,0,1485,900,300
933,572,1658,1058,480,1562,1437,984,1126,576,529,1069,1444,653,1485,0,1249,1481
606,1026,892,801,1214,806,957,1090,1469,1049,1155,684,851,1078,900,1249,0,913
960,1190,1467,1389,1550,1399,376,1638,2000,1191,1517,714,1478,1144,300,1481,913,0
