0,576,300,1125,1083,976,1129,1417,676,868,754,1400,1042,1039,639,1213,1102,962
576,0,449,1249,1306,1169,1481,1836,849,1206,415,1505,1469,1477,857,1066,750,1391
300,449,0,1092,1189,1071,1204,1545,650,933,769,1347,1030,1014,587,1188,1152,921
1125,1249,1092,0,2000,1917,898,1581,605,767,884,1347,922,898,604,1259,1257,806
1083,1306,1189,2000,0,302,1694,1511,1571,1536,1399,1704,398,480,1075,1769,1634,651
976,1169,1071,1917,302,0,1667,1552,1479,1487,1296,580,1461,1313,794,1048,1897,1046
1129,1481,1204,898,1694,1667,0,853,875,431,808,1914,1572,1634,1226,1457,456,1622
1417,1836,1545,1581,1511,1552,853,0,1431,997,835,1231,1010,962,483,1149,1279,827
676,849,650,605,1571,1479,875,1431,0,617,812,1763,1233,1295,1017,1438,793,1298
868,1206,933,767,1536,1487,431,997,617,0,1388,1442,595,450,932,1621,1753,337
754,415,769,884,1399,1296,808,835,812,1388,0,1376,1555,1541,807,895,865,1420
1400,1505,1347,1347,1704,580,1914,1231,1763,1442,1376,0,1791,1648,1001,923,2000,1382
1042,1469,1030,922,398,1461,1572,1010,1233,595,1555,1791,0,422,1206,1903,1785,675
1039,1477,1014,898,480,1313,1634,962,1295,450,1541,1648,422,0,1126,1820,1842,510
639,857,587,604,1075,794,1226,483,1017,932,807,1001,1206,1126,0,938,1363,931
1213,1066,1188,1259,1769,1048,1457,1149,1438,1621,895,923,1903,1820,938,0,1475,1606
1102,750,1152,1257,1634,1897,456,1279,793,1753,865,2000,1785,1842,1363,1475,0,1816
962,1391,921,806,651,1046,1622,827,1298,337,1420,1382,675,510,931,1606,1816,0
